Title,Mentor,Co-mentor(s)
Application of machine learning to reproductive epigenetics for precision aquaculture,Jason Abernathy,
Secondary Metabolome of Nematode Parasitic Fungi for Biocontrol,Kathryn Bushley,Ted Thannhauser and Catherine Wram
Developing AI-empowered climate mitigation solutions in agricultural soils,Michael Cosh,
Integrating Multiple Data Streams into Forecasts of Vector-borne Livestock Disease Emergence and Spread,Amy Hudson,
Modernizing the Soil and Water Assessment Tool (SWAT+) for use on SCINet computing infrastructure,Kelly Thorp,"Jeff Arnold, Mike White, and Merilynn Schantz"
